subset,class,source,group,file,orig,w,h,text_frac_small,text_density
cover,japanese,acn_manga,1-nen-a-gumi-no-monster,cover/japanese/acn_manga__1-nen-a-gumi-no-monster__1-nen-a-gumi-no-monster-5218.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\1-nen-a-gumi-no-monster-5218.jpg,190,247,0.0427,5795.9
cover,japanese,acn_manga,100-dieu-muon-lam-truoc-khi-chet,cover/japanese/acn_manga__100-dieu-muon-lam-truoc-khi-chet__100-dieu-muon-lam-truoc-khi-chet-8348.png.jpg,chauaoe999\Comic_classification_by_Country\manga\100-dieu-muon-lam-truoc-khi-chet-8348.png,190,247,0.0698,8395.5
cover,japanese,acn_manga,365-ngay-cho-den-luc-2-ta-ket-hon,cover/japanese/acn_manga__365-ngay-cho-den-luc-2-ta-ket-hon__365-ngay-cho-den-luc-2-ta-ket-hon-10956.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\365-ngay-cho-den-luc-2-ta-ket-hon-10956.jpg,190,247,0.0425,2620.9
cover,japanese,acn_manga,7-nang-cong-chua-ngu-say,cover/japanese/acn_manga__7-nang-cong-chua-ngu-say__7-nang-cong-chua-ngu-say-14779.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\7-nang-cong-chua-ngu-say-14779.jpg,190,247,0.0493,3430.6
cover,japanese,acn_manga,7-vien-ngoc-rong,cover/japanese/acn_manga__7-vien-ngoc-rong__7-vien-ngoc-rong-194.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\7-vien-ngoc-rong-194.jpg,190,247,0.0382,6541.7
cover,japanese,acn_manga,a-bout,cover/japanese/acn_manga__a-bout__a-bout-1506.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\a-bout-1506.jpg,190,247,0.0229,3260.2
cover,japanese,acn_manga,act-age,cover/japanese/acn_manga__act-age__act-age-6075.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\act-age-6075.jpg,190,247,0.0235,3430.6
cover,japanese,acn_manga,after-being-reborn-i-became-the-strongest-to-save-everyone,cover/japanese/acn_manga__after-being-reborn-i-became-the-strongest-to-save-everyone__after-being-reborn-i-became-t__f20efd7454.jpg,chauaoe999\Comic_classification_by_Country\manga\after-being-reborn-i-became-the-strongest-to-save-everyone-8426.jpg,190,247,0.0458,4240.4
cover,japanese,acn_manga,aharen-san-wa-hakarenai,cover/japanese/acn_manga__aharen-san-wa-hakarenai__aharen-san-wa-hakarenai-3733.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\aharen-san-wa-hakarenai-3733.jpg,190,247,0.0312,2812.7
cover,japanese,acn_manga,air-gear,cover/japanese/acn_manga__air-gear__air-gear-1265.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\air-gear-1265.jpg,190,247,0.059,6690.8
cover,japanese,acn_manga,aishiteru-game-wo-owarasetai,cover/japanese/acn_manga__aishiteru-game-wo-owarasetai__aishiteru-game-wo-owarasetai-12773.jpg.jpg,chauaoe999\Comic_classification_by_Country\manga\aishiteru-game-wo-owarasetai-12773.jpg,190,247,0.0694,3558.5
